agent_id,agent_name,behavior_bias,provisioned_at,governance_status,human_owner
AID-00001,Customer Support-884,customer_support,2026-02-21 00:00:00,Active,owner-0@acmecorp.com
AID-00002,Data Pipeline-235,data_pipeline,2026-03-02 00:00:00,Active,owner-1@acmecorp.com
AID-00003,Data Pipeline-728,data_pipeline,2026-02-05 00:00:00,Active,owner-2@acmecorp.com
AID-00004,Customer Support-481,customer_support,2026-02-03 00:00:00,Active,owner-3@acmecorp.com
AID-00005,Financial Analysis-867,financial_analysis,2026-03-11 00:00:00,Active,owner-4@acmecorp.com
AID-00006,Compliance Audit-860,compliance_audit,2026-03-13 00:00:00,Active,owner-5@acmecorp.com
AID-00007,Trading Strategy-909,trading_strategy,2026-02-15 00:00:00,Active,owner-6@acmecorp.com
AID-00008,Compliance Audit-200,compliance_audit,2026-02-11 00:00:00,Active,owner-7@acmecorp.com
AID-00009,Data Pipeline-342,data_pipeline,2026-02-17 00:00:00,Active,owner-8@acmecorp.com
AID-00010,Trading Strategy-456,trading_strategy,2026-02-07 00:00:00,Active,owner-9@acmecorp.com
AID-00011,Code Generation-470,code_generation,2026-02-23 00:00:00,Active,owner-10@acmecorp.com
AID-00012,Data Pipeline-849,data_pipeline,2026-03-18 00:00:00,Active,owner-11@acmecorp.com
AID-00013,Trading Strategy-754,trading_strategy,2026-03-14 00:00:00,Active,owner-12@acmecorp.com
AID-00014,Code Generation-937,code_generation,2026-02-22 00:00:00,Active,owner-13@acmecorp.com
AID-00015,Data Pipeline-889,data_pipeline,2026-03-05 00:00:00,Active,owner-14@acmecorp.com
AID-00016,Data Pipeline-260,data_pipeline,2026-02-16 00:00:00,Active,owner-15@acmecorp.com
AID-00017,Customer Support-124,customer_support,2026-02-08 00:00:00,Active,owner-16@acmecorp.com
AID-00018,Financial Analysis-465,financial_analysis,2026-02-02 00:00:00,Active,owner-17@acmecorp.com
AID-00019,Customer Support-640,customer_support,2026-03-17 00:00:00,Active,owner-18@acmecorp.com
AID-00020,Customer Support-952,customer_support,2026-03-10 00:00:00,Active,owner-19@acmecorp.com
AID-00021,Compliance Audit-123,compliance_audit,2026-02-24 00:00:00,Active,owner-0@acmecorp.com
AID-00022,Market Research-164,market_research,2026-02-20 00:00:00,Active,owner-1@acmecorp.com
AID-00023,Customer Support-467,customer_support,2026-02-25 00:00:00,Active,owner-2@acmecorp.com
AID-00024,Market Research-441,market_research,2026-03-05 00:00:00,Active,owner-3@acmecorp.com
AID-00025,Market Research-505,market_research,2026-03-09 00:00:00,Active,owner-4@acmecorp.com
AID-00026,Data Pipeline-103,data_pipeline,2026-02-06 00:00:00,Active,owner-5@acmecorp.com
AID-00027,Trading Strategy-985,trading_strategy,2026-03-15 00:00:00,Active,owner-6@acmecorp.com
AID-00028,Financial Analysis-235,financial_analysis,2026-02-12 00:00:00,Active,owner-7@acmecorp.com
AID-00029,Code Generation-137,code_generation,2026-02-14 00:00:00,Active,owner-8@acmecorp.com
AID-00030,Hr Onboarding-629,hr_onboarding,2026-03-08 00:00:00,Active,owner-9@acmecorp.com
AID-00031,Compliance Audit-569,compliance_audit,2026-02-20 00:00:00,Active,owner-10@acmecorp.com
AID-00032,Trading Strategy-179,trading_strategy,2026-02-04 00:00:00,Active,owner-11@acmecorp.com
AID-00033,Data Pipeline-699,data_pipeline,2026-03-09 00:00:00,Active,owner-12@acmecorp.com
AID-00034,Compliance Audit-533,compliance_audit,2026-03-09 00:00:00,Active,owner-13@acmecorp.com
AID-00035,Code Generation-135,code_generation,2026-02-14 00:00:00,Active,owner-14@acmecorp.com
